,AQI,PM2.5,PM10,O3,纬度,经度,哮喘发病率(‰),心血管疾病发病率(‰)
AQI,1.0,0.9976626333071406,0.9928200510381405,0.972466346330149,0.5665366117179396,-0.6477871055079302,0.9859094401752528,0.9748654883338815
PM2.5,0.9976626333071406,1.0,0.9979799148503126,0.9763151026559509,0.562745205402834,-0.6719194597125585,0.9895805555751698,0.9798942836617974
PM10,0.9928200510381405,0.9979799148503126,1.0,0.9723594239256645,0.5675745477124544,-0.6841724745527443,0.9905191877390411,0.9830414075418431
O3,0.972466346330149,0.9763151026559509,0.9723594239256645,1.0,0.6299875710626677,-0.5879866447963913,0.9872639069199141,0.9894164401825064
纬度,0.5665366117179396,0.562745205402834,0.5675745477124544,0.6299875710626677,1.0,0.10089889895241104,0.5933440203038152,0.6528715667044792
经度,-0.6477871055079302,-0.6719194597125585,-0.6841724745527443,-0.5879866447963913,0.10089889895241104,1.0,-0.6319100693404779,-0.5918644228031098
哮喘发病率(‰),0.9859094401752528,0.9895805555751698,0.9905191877390411,0.9872639069199141,0.5933440203038152,-0.6319100693404779,1.0,0.9952787114260223
心血管疾病发病率(‰),0.9748654883338815,0.9798942836617974,0.9830414075418431,0.9894164401825064,0.6528715667044792,-0.5918644228031098,0.9952787114260223,1.0
